1,"2022 Chevrolet Silverado 1500",Chevrolet,New,58150.00,56400.00,617281,5,14,20,"EcoTec3 5.3L V8","10-Speed Automatic","4D Crew Cab",https://vehicle-photos-published.vauto.com/f2/47/2a/ea-af61-44b4-b8f7-94d209ed85ff/image-1.jpg,"Dark Ash Metallic","Black Cloth",1GCUDDED0NZ617281,"Long Chevrolet Buick GMC"
2,"2022 Chevrolet Silverado 1500",Chevrolet,New,58150.00,56400.00,617281,5,14,20,"EcoTec3 5.3L V8","10-Speed Automatic","4D Crew Cab",https://vehicle-photos-published.vauto.com/f2/47/2a/ea-af61-44b4-b8f7-94d209ed85ff/image-1.jpg,"Dark Ash Metallic","Black Cloth",1GCUDDED0NZ617281,"Long Chevrolet Buick GMC"
3,"2023 Chevrolet Silverado 1500",Chevrolet,New,61130.00,60880.00,143343,11,14,20,"EcoTec3 5.3L V12","14-Speed Automatic","8D Crew Cab",https://vehicle-photos-published.vauto.com/01/2b/fd/76-499a-4267-af46-3cadf0f9d44c/image-1.jpg,"Dark Ash Metallic","Black Cloth",1GCUDDED0NZ617285,"Long Chevrolet Buick GMC"
4,"2023 Buick Enclave",Buick,New,59095.00,58845.00,186139,4,14,20,"EcoTec3 5.3L V14","16-Speed Automatic","10D Crew Cab",https://vehicle-photos-published.vauto.com/43/b0/07/8d-c928-4b17-8b9d-20ad80818b31/image-1.jpg,"Dark Ash Metallic","Black Cloth",1GCUDDED0NZ617287,"Long Chevrolet Buick GMC"
5,"2023 Chevrolet Equinox",Chevrolet,New,37360.00,36360.00,156162,8,14,20,"EcoTec3 5.3L V16","18-Speed Automatic","12D Crew Cab",https://vehicle-photos-published.vauto.com/5a/96/d2/bd-0c6d-40a5-9611-7a6e880fe59a/image-1.jpg,"Dark Ash Metallic","Black Cloth",1GCUDDED0NZ617289,"Long Chevrolet Buick GMC"
6,"2023 GMC Terrain",GMC,New,34710.00,34210.00,158521,10,14,20,"EcoTec3 5.3L V19","21-Speed Automatic","15D Crew Cab",https://vehicle-photos-published.vauto.com/2e/f8/78/31-4959-4a67-80b7-1d2445e3a79c/image-1.jpg,"Dark Ash Metallic","Black Cloth",1GCUDDED0NZ617292,"Long Chevrolet Buick GMC"
7,"2022 Chevrolet Silverado 1500",Chevrolet,New,70245.00,69495.00,584593,4,14,20,"EcoTec3 5.3L V20","22-Speed Automatic","16D Crew Cab",https://vehicle-photos-published.vauto.com/c9/b1/57/dd-a8af-41f6-8aec-82c066336f6c/image-1.jpg,"Dark Ash Metallic","Black Cloth",1GCUDDED0NZ617293,"Long Chevrolet Buick GMC"
8,"2023 Chevrolet Equinox",Chevrolet,New,38635.00,37635.00,176139,8,14,20,"EcoTec3 5.3L V22","24-Speed Automatic","18D Crew Cab",https://vehicle-photos-published.vauto.com/c2/a3/f3/a3-7793-4101-8c60-97a34071c99a/image-1.jpg,"Dark Ash Metallic","Black Cloth",1GCUDDED0NZ617295,"Long Chevrolet Buick GMC"
9,"2022 Chevrolet Trax",Chevrolet,New,25805.00,24805.00,567303,7,14,20,"EcoTec3 5.3L V26","28-Speed Automatic","22D Crew Cab",https://vehicle-photos-published.vauto.com/ca/db/53/f9-8e8f-4c71-bcca-bb9ec7f6a024/image-1.jpg,"Dark Ash Metallic","Black Cloth",1GCUDDED0NZ617299,"Long Chevrolet Buick GMC"
10,"2023 Chevrolet Equinox",Chevrolet,New,36370.00,35370.00,167876,3,14,20,"EcoTec3 5.3L V27","29-Speed Automatic","23D Crew Cab",https://vehicle-photos-published.vauto.com/46/75/7b/85-d117-4d08-8653-51b794bcc090/image-1.jpg,"Dark Ash Metallic","Black Cloth",1GCUDDED0NZ617300,"Long Chevrolet Buick GMC"
11,"2023 Chevrolet Silverado 1500",Chevrolet,New,51390.00,50140.00,227396,5,14,20,"EcoTec3 5.3L V31","33-Speed Automatic","27D Crew Cab",https://vehicle-photos-published.vauto.com/35/7c/a3/a0-6fed-4854-88d7-867db9b96529/image-1.jpg,"Dark Ash Metallic","Black Cloth",1GCUDDED0NZ617304,"Long Chevrolet Buick GMC"
12,"2023 Buick Encore GX",Buick,New,30605.00,30355.00,96808,5,14,20,"EcoTec3 5.3L V32","34-Speed Automatic","28D Crew Cab",https://vehicle-photos-published.vauto.com/7b/66/f5/ba-f335-4f6d-a4ac-03d9e160edfa/image-1.jpg,"Dark Ash Metallic","Black Cloth",1GCUDDED0NZ617305,"Long Chevrolet Buick GMC"
13,"2023 Chevrolet Camaro",Chevrolet,New,52765.00,52265.00,137276,3,14,20,"EcoTec3 5.3L V33","35-Speed Automatic","29D Crew Cab",https://vehicle-photos-published.vauto.com/7a/20/1e/48-b2b9-48ec-b7bf-85f13984edd7/image-1.jpg,"Dark Ash Metallic","Black Cloth",1GCUDDED0NZ617306,"Long Chevrolet Buick GMC"
14,"2023 Chevrolet Silverado 1500",Chevrolet,New,62140.00,61890.00,115870,3,14,20,"EcoTec3 5.3L V35","37-Speed Automatic","31D Crew Cab",https://longofathens.com/site-images/generic-vehicle-image.jpg,"Dark Ash Metallic","Black Cloth",1GCUDDED0NZ617308,"Long Chevrolet Buick GMC"
15,"2023 Chevrolet Silverado 1500",Chevrolet,New,76295.00,76045.00,157211,3,14,20,"EcoTec3 5.3L V36","38-Speed Automatic","32D Crew Cab",https://longofathens.com/site-images/generic-vehicle-image.jpg,"Dark Ash Metallic","Black Cloth",1GCUDDED0NZ617309,"Long Chevrolet Buick GMC"
